Sentiment,Text
negative, Hope everyone has a great and blessed night.  I am sorry I could not visit w/u today.  Will not even be ab... http://plurk.com/p/11zxz8
negative,just got punched in the nose by Harley. 
negative,Oh no! I just realized that 20 years ago today the 80s were almost over. I'm older than I thought...  
negative,"@whitehowler, how dare you insult your loving, adorable wife "
negative,Ok why is it impossible to find a video of P!nk at t in the park 
negative,Just realized she can't scrimmage at all this weekend. 
negative,OOOOOOOH! Work tomorrow  WHY!? Pay day though? Think so
negative,"Im so tired, I want to take a nap "
negative,Wife sick time to take care of her 
negative,ive lost my fucking retainer. cost Â£200 to get new ones  helloo wonky teeth.........
negative,@thatdamnrepo You got kids? 
negative,"Just finished my birthday dinner with mom, grandma, brother, husband, and babies. Missin other 2 brothers.  Off to cousin's softball game!"
negative,"@chockenberry yes, really  Didn't we already have this discussion?"
negative,@hellbby hey! how are you?? I'm so bored right now  &lt;3
negative,@hilsofhove Oh missed tweeting with you today   See you tomorrow.
negative,Having a bad couple of days 
negative,It's a sad day for happiness.... in this craaaaaazy world...  &lt;/3
negative,@youwatchme I spilled coffee on her  I'm sending her to be fixed but a new computer is coming soon.
negative,"been in work for 7.5 hours, only 13.5 to go!! "
negative,didnt make it into chester tonight 
negative,feel guilty and don't know what i have 2 do..... 
negative,@TessMorris  No we cant loose you 
negative,She's mean! 
negative,bed.tomorrow i will be a grown up. i will be working full time. screw getting up at 6am  nightt
negative,Brothers and Sisters finishes tonight.    And then Ugly Betty is FINALLY back!!!
negative,"Getting japanese food @ i heart teriaki. Japanese food makes me miss my dirty asian, ken. "
negative,"common' team jonas. no larry king invite, no soundcheck pass, no dress reh. invite ?? really ?? "
negative,"@Calypso2 It all went tits up because someone we know died.  Not at the party, but the night before. "
negative,@TiffanyHope  !
negative,"Great. Now, I have a headache. Just took 2 tablets of tylenol becuz that was all that was left.  I always take 3. Hopefully, it will help."
negative,@squarespace Another US winner! 
negative,@ATaylorTheReal  yo yo yo i need a printer lol 
negative,@xomgbobdeblasio  I miss you. 
negative,@brianlance And also I wish their cut off for the four percent was a bit higher than positive6k. 
negative,"@tinax88 oops my bad  probably less sports from now until October, gd to meet another Coq twitter-er?"
negative,At the dentist with numbing cream in my mouth. I hate needles 
negative,@adamdrago USB only 
negative,"@Matteo_Monari nice, well it defo ain't summer here, weather sucks "
negative,Got her to eat a few bites of food. Changed the water and she still rejected it!  She's laying down on a pillow in the kitchen now.
negative,Ok so i'm starting to feel better- but it's Stefans night to play in his straight pool league   maybe I'll actually pick up a cue tomorrow
negative,I want long hair! asap  stupid short-ish hair
negative,"@iamdiddy  soooo tired,  not feeling the love today!  "
negative,@dafyddbach: I'm going to have nightmares about data-entry tonight. 
negative,I want my snookie bear i scared   *L!nd@*&lt;3*Cr@!g*
negative,@dannyholderby yes.  Couldn't see it due to cloud cover   Watched on NASA TV though
negative,@xolp  I hate getting up in the mornings!!
negative,@Dannymcfly  Danny I give up... you always ignore my tweets 
negative,I want chinese food from fu sing 
