Sentiment,text
negative,hope everyone great blessed night sorry could visit wu today even ab
negative,got punched nose harley
negative,oh realized 20 year ago today 80 almost im older thought
negative,dare insult loving adorable wife
negative,ok impossible find video pnk park
negative,realized cant scrimmage weekend
negative,oooooooh work tomorrow pay day though think
negative,im tired want take nap
negative,wife sick time take care
negative,ive lost fucking retainer cost â200 get new one helloo wonky teeth
negative,got kid
negative,finished birthday dinner mom grandma brother husband baby missin 2 brother cousin softball game
negative,yes really didnt already discussion
negative,hey im bored right lt3
negative,oh missed tweeting today see tomorrow
negative,bad couple day
negative,sad day happiness craaaaaazy world lt3
negative,spilled coffee im sending fixed new computer coming soon
negative,work 75 hour 135 go
negative,didnt make chester tonight
negative,feel guilty dont know 2
negative,cant loose
negative,shes mean
negative,bedtomorrow grown working full time screw getting 6am nightt
negative,brother sister finish tonight ugly betty finally back
negative,getting japanese food heart teriaki japanese food make miss dirty asian ken
negative,common team jonas larry king invite soundcheck pas dress reh invite really
negative,went tit someone know died party night
negative,
negative,great headache took 2 tablet tylenol becuz left always take 3 hopefully help
negative,another u winner
negative,yo yo yo need printer lol
negative,miss
negative,also wish cut four percent bit higher positive6k
negative,oops bad probably le sport october gd meet another coq twitterer
negative,dentist numbing cream mouth hate needle
negative,usb
negative,nice well defo aint summer weather suck
negative,got eat bite food changed water still rejected shes laying pillow kitchen
negative,ok im starting feel better stefans night play straight pool league maybe ill actually pick cue tomorrow
negative,want long hair asap stupid shortish hair
negative,soooo tired feeling love today
negative,im going nightmare dataentry tonight
negative,want snookie bear scared lndlt3crg
negative,yes couldnt see due cloud cover watched nasa tv though
negative,hate getting morning
negative,danny give always ignore tweet
negative,want chinese food fu sing
negative,literally nothing like day back tomoz im counting holiday omg heard penny musa
negative,sick watching bridget jones diary 2 love chubby renee shes pretty movie
negative,thats sick
negative,friend broke special edtion cd today cant get anywhere xx
negative,tired pack ughh
negative,depressed
negative,que claro way school allergic reaction
negative,uh oh noticed something change plan tomorrow radically got ta email bos
negative,uverse trying get set ive great experience atampt uverse sorry hard time
negative,cleaning fun
negative,finally cut 5 inch hair waist length hair looking fwd music fest tomorrow night fishing tournparties sat
negative,dont money bus one drive
negative,headache already
negative,always desert outside
negative,sorry obvious direct tweet multiple account tweetdeck 0261
negative,itll never like let hope year race eventful last year tho
negative,super sick feel like got hit truck im really cold wan na sleep cant
negative,pissed took 15 minute detail task dam application logged losing edits
